track__artists__name,track__name,track__preview_url
Coldplay,The Scientist,https://p.scdn.co/mp3-preview/95cb9df1b056d759920b5e85ad7f9aff0a390671?cid=774b29d4f13844c495f206cafdad9c86
Madonna,4 Minutes (feat. Justin Timberlake & Timbaland) - feat. Justin Timberlake And Timbaland,https://p.scdn.co/mp3-preview/3017f41234c54ef09c66f4d2ff47e1acee8d8a4e?cid=774b29d4f13844c495f206cafdad9c86
Beyoncé,Halo,https://p.scdn.co/mp3-preview/3c97985f3736fab6d4abcd2067f346a9b30955fa?cid=774b29d4f13844c495f206cafdad9c86
Dixie Chicks,Not Ready to Make Nice,https://p.scdn.co/mp3-preview/48dd6ee93b20f328eca9f4613ce31508d687504c?cid=774b29d4f13844c495f206cafdad9c86
Sara Bareilles,Love Song,https://p.scdn.co/mp3-preview/6a346c9d0573a678ca5b2d001c8884d4161b850c?cid=774b29d4f13844c495f206cafdad9c86
Bruno Mars,Marry You,https://p.scdn.co/mp3-preview/b50deda939ea24755b044a89c7997bb43f252f5a?cid=774b29d4f13844c495f206cafdad9c86
Christina Aguilera,Beautiful,https://p.scdn.co/mp3-preview/3c9ad69c04cfe7e27ce24c9c22784285f025b551?cid=774b29d4f13844c495f206cafdad9c86
Kelly Clarkson,Because of You,https://p.scdn.co/mp3-preview/1ffacd1eff9346421586e1fc8ad4e4e7602c188d?cid=774b29d4f13844c495f206cafdad9c86
Sophie Ellis-Bextor,Murder On The Dancefloor,https://p.scdn.co/mp3-preview/d7cefcc830aee25a696765e9049a16cacae64681?cid=774b29d4f13844c495f206cafdad9c86
The xx,Intro,https://p.scdn.co/mp3-preview/e88460c474e9eb7186bb4ba38e27806160c55fa9?cid=774b29d4f13844c495f206cafdad9c86
Leona Lewis,Bleeding Love,https://p.scdn.co/mp3-preview/f3d2399d85d47296e11452411a1e010b2c7ca371?cid=774b29d4f13844c495f206cafdad9c86
OutKast,Ms. Jackson,https://p.scdn.co/mp3-preview/36ade9974fa85079e996dd9aca93af62c4e88711?cid=774b29d4f13844c495f206cafdad9c86
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",https://p.scdn.co/mp3-preview/14a42f83aad3ea545736184a08323545090bdd48?cid=774b29d4f13844c495f206cafdad9c86
Bruno Mars,Just The Way You Are,https://p.scdn.co/mp3-preview/07c6c33d6426d61ffd2e93d4c06ca599f7761b46?cid=774b29d4f13844c495f206cafdad9c86
David Guetta,When Love Takes Over (feat. Kelly Rowland),https://p.scdn.co/mp3-preview/f9877d70c57311941dca4782fbaa41efce514c67?cid=774b29d4f13844c495f206cafdad9c86
Jamiroquai,Little L,https://p.scdn.co/mp3-preview/ebca9b39349cd2955cfada4475600f56c0c4b8ce?cid=774b29d4f13844c495f206cafdad9c86
Pitbull,I Know You Want Me (Calle Ocho),https://p.scdn.co/mp3-preview/9ac6ac06e93f53f6ded690a12c38d21e3a7a0d71?cid=774b29d4f13844c495f206cafdad9c86
Sean Paul,Get Busy,https://p.scdn.co/mp3-preview/9852d037d90d8059d97546917af1ead2f7393321?cid=774b29d4f13844c495f206cafdad9c86
The White Stripes,Seven Nation Army,https://p.scdn.co/mp3-preview/82731065c728a8e9baf09f4e1af235265cd19054?cid=774b29d4f13844c495f206cafdad9c86
Train,"Hey, Soul Sister",https://p.scdn.co/mp3-preview/b6393162ba6857ed9954230a0f2a2f1c3cab0883?cid=774b29d4f13844c495f206cafdad9c86
Red Hot Chili Peppers,Snow (Hey Oh),https://p.scdn.co/mp3-preview/958b3e3c13c8c1fed008400ec2a6b821a821cccc?cid=774b29d4f13844c495f206cafdad9c86
Duffy,Mercy,https://p.scdn.co/mp3-preview/99c41fbd4f944539451f235c689391f11e8259ca?cid=774b29d4f13844c495f206cafdad9c86
Panic! At The Disco,I Write Sins Not Tragedies,https://p.scdn.co/mp3-preview/930966829960ca443d5fc2dae62c9cd5b9d6a395?cid=774b29d4f13844c495f206cafdad9c86
Nickelback,How You Remind Me,https://p.scdn.co/mp3-preview/bce58ffc6c70e0fcf2f2c0228f794743a07569ab?cid=774b29d4f13844c495f206cafdad9c86
Norah Jones,Don't Know Why,https://p.scdn.co/mp3-preview/4b5b0f1ff61f6397ef1489af2c52cb337d084a27?cid=774b29d4f13844c495f206cafdad9c86
The Corrs,Breathless,https://p.scdn.co/mp3-preview/238cabbbeaa52aa08c45c2ce887879fb95b4d9f3?cid=774b29d4f13844c495f206cafdad9c86
The Calling,Wherever You Will Go,https://p.scdn.co/mp3-preview/9cdcf48bfbfae819688145590f5bd2fea8634186?cid=774b29d4f13844c495f206cafdad9c86
Missy Elliott,Get Ur Freak On,https://p.scdn.co/mp3-preview/377a872a710350a8aa969597d4a5a9979fa37d54?cid=774b29d4f13844c495f206cafdad9c86
Florence + The Machine,You've Got The Love,https://p.scdn.co/mp3-preview/5c4c61c2e44da71d54c6f232573b44355d1ac06e?cid=774b29d4f13844c495f206cafdad9c86
Katy Perry,Hot N Cold,https://p.scdn.co/mp3-preview/6337506b17d21a9e6e035a5c03d08fab19680cf4?cid=774b29d4f13844c495f206cafdad9c86
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),https://p.scdn.co/mp3-preview/3bb02cefe0aca5129bb4be624a3f0dba6f31409f?cid=774b29d4f13844c495f206cafdad9c86
Journey,Don't Stop Believin',https://p.scdn.co/mp3-preview/21b9abd3cd2eea634e17a917196fdd5ba2e82670?cid=774b29d4f13844c495f206cafdad9c86
Michael Jackson,Billie Jean,https://p.scdn.co/mp3-preview/4eb779428d40d579f14d12a9daf98fc66c7d0be4?cid=774b29d4f13844c495f206cafdad9c86
a-ha,Take On Me,https://p.scdn.co/mp3-preview/0f980d0fac59f77123d0272b78bce97f1374d9e9?cid=774b29d4f13844c495f206cafdad9c86
Depeche Mode,Just Can't Get Enough,https://p.scdn.co/mp3-preview/899caa29746e4ea35731fcf93a307821b1583c2b?cid=774b29d4f13844c495f206cafdad9c86
Eurythmics,Sweet Dreams (Are Made of This) - Remastered,https://p.scdn.co/mp3-preview/90dbf17146e76483a9fe296d7f03001e2f07199f?cid=774b29d4f13844c495f206cafdad9c86
Madonna,Holiday,https://p.scdn.co/mp3-preview/707260adff8a4d4b5b041ee5abeebe04ac9831ec?cid=774b29d4f13844c495f206cafdad9c86
Michael Sembello,Maniac,https://p.scdn.co/mp3-preview/41932e7cc386f26ba6d419c2bd132dcf02ac0b2e?cid=774b29d4f13844c495f206cafdad9c86
Daryl Hall & John Oates,Maneater - Radio Edit,https://p.scdn.co/mp3-preview/9d4890524be2b649905e936ecf46f9f76dfe09fd?cid=774b29d4f13844c495f206cafdad9c86
Queen,Another One Bites The Dust - Remastered 2011,https://p.scdn.co/mp3-preview/c105fe344eed632ebb72a1a0ed8efcfb5a47c6ff?cid=774b29d4f13844c495f206cafdad9c86
Europe,The Final Countdown,https://p.scdn.co/mp3-preview/e7bc429aad4cba1d8dd8afe4f70de56065a0765f?cid=774b29d4f13844c495f206cafdad9c86
Alphaville,Forever Young,https://p.scdn.co/mp3-preview/847a8d10c771089bbb767c1763f4b54b76115442?cid=774b29d4f13844c495f206cafdad9c86
Men At Work,Down Under,https://p.scdn.co/mp3-preview/e2a0e908126b04c92cf0f80c29242d46f2b45396?cid=774b29d4f13844c495f206cafdad9c86
Paul Simon,You Can Call Me Al,https://p.scdn.co/mp3-preview/3be25f14812ac02efe0911b392ef02ae64df27f7?cid=774b29d4f13844c495f206cafdad9c86
The Clash,Should I Stay or Should I Go - Remastered,https://p.scdn.co/mp3-preview/670a419f7cb549ef6d3d7f9c5060ac6b8c112fa4?cid=774b29d4f13844c495f206cafdad9c86
Lionel Richie,Hello,https://p.scdn.co/mp3-preview/dbb5f96fc0bc63fb4c4ceb361c17737e567dd491?cid=774b29d4f13844c495f206cafdad9c86
Rick Astley,Never Gonna Give You Up,https://p.scdn.co/mp3-preview/a69cabb16c6c3333db903d1f538e808493689e40?cid=774b29d4f13844c495f206cafdad9c86
Belinda Carlisle,Heaven Is a Place on Earth,https://p.scdn.co/mp3-preview/d51127e836e3a7bf005ecc519f2766a862a5739d?cid=774b29d4f13844c495f206cafdad9c86
Dolly Parton,9 to 5,https://p.scdn.co/mp3-preview/a3c584358e68ee984ac4b1f31d4a832fb46aeeb9?cid=774b29d4f13844c495f206cafdad9c86
Cyndi Lauper,Girls Just Want to Have Fun,https://p.scdn.co/mp3-preview/b7dc055382341560973132ef4dcb45c150875f37?cid=774b29d4f13844c495f206cafdad9c86
Stevie Wonder,I Just Called To Say I Love You,https://p.scdn.co/mp3-preview/785427bbefd24a7b775db6286786cc92e1eb2bdd?cid=774b29d4f13844c495f206cafdad9c86
Kenny Loggins,Footloose,https://p.scdn.co/mp3-preview/0982054b4e6e6e53f0760b19a73c7128e367e615?cid=774b29d4f13844c495f206cafdad9c86
Bonnie Tyler,Total Eclipse of the Heart,https://p.scdn.co/mp3-preview/f48d5786b2115ef778856979ab8823072c0d8a7c?cid=774b29d4f13844c495f206cafdad9c86
Chicago,You're The Inspiration - 2006 Remastered Version,https://p.scdn.co/mp3-preview/81c3639880ea347eeecbcbb3d18f90fcf02a6726?cid=774b29d4f13844c495f206cafdad9c86
Starship,Nothing's Gonna Stop Us Now,https://p.scdn.co/mp3-preview/021d3772b92fb0308c0b1852cf4aa444de3fdb81?cid=774b29d4f13844c495f206cafdad9c86
Guns N' Roses,Sweet Child O' Mine,https://p.scdn.co/mp3-preview/08877fcd63336fdd8c184fb5d1195fd5f6cc89cf?cid=774b29d4f13844c495f206cafdad9c86
Simple Minds,Don't You (Forget About Me),https://p.scdn.co/mp3-preview/c67b4474b763735ac27fc54d9779609f7e10a9de?cid=774b29d4f13844c495f206cafdad9c86
Billy Joel,Uptown Girl,https://p.scdn.co/mp3-preview/fcc3b727931ee5011d48e54124f7982cebc0433a?cid=774b29d4f13844c495f206cafdad9c86
